EMOJI,SIZE (in cm),INFO
🐒,56,
🦍,172,tsasmani
🦧,130,rangutano
🐕,65,
🐩,45,
🐈,25,mlatu
🐅,110,
🐆,105,
🐎,165,xirma
🦌,121,
🦬,195,bakrbisoni
🐄,160,bakni
🐖,77,xarju
🐏,?,lanme
🐐,76,kanba
🐫,180,zdokumte
🦙,170,tcokumte
🦒,550,djirafa
🐘,320,xanto
🦣,335,sulxanto
🦏,190,zbiseljirna
🦛,140,.encere
🐁,7,smaci
🐇,40,ractu
🐿️,30,tcinisa
🦇,?,bi'anfu
🦘,?,kanguru
🦃,?,xruki
🐓,35,makcu jipci
🐥,🥚*1.3,verba jipci
🦅,?,atkuuila
🦆,40,datka
🦢,?,nebgunse
🦉,55,
🦤,?,Dodo
🦚,130,skaxruki
🦜,?,Parrot
🐢,?,cakyrespa
🐍,?,Snake
🦕,1600,
🦖,610,
🐋,?,Whale
🐬,259,delfinu
🐟,?,Fish
🐠,?,Tropical Fish
🐡,?,Blowfish
🦈,?,Shark
🐙,?,Octopus
🐌,3.3,cakcurnu
🦋,?,Butterfly
🐛,?,Bug
🐜,0.37,manti
🐝,1.5,bifce
🪲,?,Beetle
🐞,1,kokcinela
🕷️,?,Spider
🦂,?,Scorpion
🦟,0.3,zanzara
🦠,?,Microbe
🌻,180,solspa
🌲,?,Evergreen Tree
🌳,?,Deciduous Tree
🌴,?,Palm Tree
🌵,1200,jesyspa
🦑,?,Squid
🎄,?,Christmas Tree
🌞,139268000000,solri
🪰,0.6,sfani
