EMOJI,SIZE (in cm),INFO
😂,26,ekpredekpu'a
❤️,12,risna
🚗,180,karce
🛻,190,beircarce
🚒,230,fagri carce 
🥚,7,tarbi
🐋,26 * 100,tcetace .i fi le ka clani vau (in length)
💍,2,karli
☕️,10,kabri
🔥,40,fagbetri
💪,30,cai sluji
👌,18,mu'o xance
🌸,5,latna
💋,4,ctebi
💃,159,ninmu dansu
🧜‍♀️,200,mermaide
🍀,6,vo pezli spartrifoli
🌷,12,tujli
🏃,165,bajra
🌝,3474km,lunra
🌎,12742km,terdi
🐉,1600,drakono
🦘,160,kanguru
🍺,18,birje
🐇,35,ractu
🌴,975,palma tricu
🍪,6,titnanba
🍶,17.5,
🎲,1.9,kelkubli
🦩,105,fagycpi
🏠,700,dinju
🧉,14,patxu lei ierbamatei
